HUB,GERENCIA,Nombre Proyecto,Máscara PEP del proyecto,Especialidad,Código de MR,Ítem MR,Descripción del item,Área de instalación 1 (Sistema),Estado del Proceso de Aprovisionamiento,Proveedor,Fecha requerida,Fecha proyectada llegada,Estado de Inspección del Ítem,dias_atraso,semaforo
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-995,MEC._ACCESORIOS,088-MR-PI13-0965,29,ITEM DEMO 89 — MEC._ACCESORIOS,CRUDE UNIT,EN PROCESO DE COMPRA,DELTA EQUIPOS S.A.S.,2023-10-15,2023-08-05,Liberado,40,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-770,MEC._ACCESORIOS,089-MR-PI13-0258,5,ITEM DEMO 90 — MEC._ACCESORIOS,OFFSITES,EN FABRICACIÓN,GAMMA SUPPLIES INC.,2024-02-04,2023-08-21,No Aceptado,56,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-972,MEC._ACCESORIOS,090-MR-PI13-0436,44,ITEM DEMO 91 — MEC._ACCESORIOS,TANKAGE,OC EMITIDA,GAMMA SUPPLIES INC.,2024-01-20,2023-12-14,Rechazado,171,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-136,MEC._TUBERÍA,091-MR-PI15-0732,5,ITEM DEMO 92 — MEC._TUBERÍA,VACUUM UNIT,EN FABRICACIÓN,BETA INDUSTRIAL LTDA.,2024-02-02,2024-02-11,Rechazado,230,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-878,INST._Y_CONTROL,092-MR-IN01-0748,46,ITEM DEMO 93 — INST._Y_CONTROL,CRUDE UNIT,OC EMITIDA,BETA INDUSTRIAL LTDA.,2023-03-18,2023-02-28,Rechazado,-118,AMARILLO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-915,MEC._VÁLVULAS,093-MR-PI14-0157,19,ITEM DEMO 94 — MEC._VÁLVULAS,UTILITIES,EN FABRICACIÓN,DELTA EQUIPOS S.A.S.,2023-07-03,2022-11-19,No requiere inspección,-219,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-911,MEC._ACCESORIOS,094-MR-PI13-0284,11,ITEM DEMO 95 — MEC._ACCESORIOS,VACUUM UNIT,RECIBIDO EN SITIO,EPSILON VALVES CO.,2023-06-05,2023-05-06,Parcial liberado,-51,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-697,MEC._ACCESORIOS,095-MR-PI13-0246,15,ITEM DEMO 96 — MEC._ACCESORIOS,OFFSITES,EN FABRICACIÓN,DELTA EQUIPOS S.A.S.,2023-12-14,2023-08-19,En programación,54,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-576,SEG._Y_SCI,096-MR-SC01-0394,44,ITEM DEMO 97 — SEG._Y_SCI,TANKAGE,EN TRÁNSITO,PROVEEDOR ALPHA S.A.,2024-01-07,2023-05-16,Parcial liberado,-41,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-406,MEC._VÁLVULAS,097-MR-PI14-0754,28,ITEM DEMO 98 — MEC._VÁLVULAS,FLARE SYSTEM,EN FABRICACIÓN,DELTA EQUIPOS S.A.S.,2024-05-28,2024-03-25,En programación,273,AMARILLO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-209,MEC._ROTATIVA,098-MR-RO01-0342,25,ITEM DEMO 99 — MEC._ROTATIVA,TANKAGE,EN FABRICACIÓN,EPSILON VALVES CO.,2023-05-12,2023-03-29,En programación,-89,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-949,INST._Y_CONTROL,099-MR-IN01-0774,26,ITEM DEMO 100 — INST._Y_CONTROL,UTILITIES,RECIBIDO EN SITIO,EPSILON VALVES CO.,2024-06-22,2024-03-25,Rechazado,273,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-863,MEC._ACCESORIOS,100-MR-PI13-0608,19,ITEM DEMO 101 — MEC._ACCESORIOS,VACUUM UNIT,EN PROCESO DE COMPRA,GAMMA SUPPLIES INC.,2024-03-04,2023-08-02,No requiere inspección,37,AMARILLO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-794,MEC._TUBERÍA,101-MR-PI15-0873,47,ITEM DEMO 102 — MEC._TUBERÍA,FLARE SYSTEM,EN TRÁNSITO,ZETA FITTINGS CORP.,2023-12-22,2023-08-01,Liberado,36,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-551,MEC._TUBERÍA,102-MR-PI15-0134,38,ITEM DEMO 103 — MEC._TUBERÍA,UTILITIES,EN TRÁNSITO,PROVEEDOR ALPHA S.A.,2024-05-07,2023-09-30,En programación,96,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-235,MEC._VÁLVULAS,103-MR-PI14-0905,35,ITEM DEMO 104 — MEC._VÁLVULAS,UTILITIES,EN PROCESO DE COMPRA,EPSILON VALVES CO.,2023-07-17,2023-06-19,En programación,-7,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-944,MEC._ACCESORIOS,104-MR-PI13-0593,19,ITEM DEMO 105 — MEC._ACCESORIOS,FLARE SYSTEM,EN FABRICACIÓN,PROVEEDOR ALPHA S.A.,2024-03-31,2023-10-27,Parcial liberado,123,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-331,MEC._TUBERÍA,105-MR-PI15-0980,44,ITEM DEMO 106 — MEC._TUBERÍA,FLARE SYSTEM,OC EMITIDA,EPSILON VALVES CO.,2024-06-07,2023-11-18,En programación,145,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-649,MEC._ACCESORIOS,106-MR-PI13-0226,30,ITEM DEMO 107 — MEC._ACCESORIOS,UTILITIES,EN FABRICACIÓN,EPSILON VALVES CO.,2023-03-18,2023-02-08,Parcial liberado,-138,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-339,MEC._VÁLVULAS,107-MR-PI14-0582,2,ITEM DEMO 108 — MEC._VÁLVULAS,TANKAGE,EN PROCESO DE COMPRA,GAMMA SUPPLIES INC.,2024-03-27,2024-02-06,No Aceptado,225,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-575,MEC._VÁLVULAS,108-MR-PI14-0817,20,ITEM DEMO 109 — MEC._VÁLVULAS,FLARE SYSTEM,OC EMITIDA,PROVEEDOR ALPHA S.A.,2023-05-24,2022-10-28,No requiere inspección,-241,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-604,ELÉCTRICA,109-MR-EL01-0218,7,ITEM DEMO 110 — ELÉCTRICA,VACUUM UNIT,EN PROCESO DE COMPRA,BETA INDUSTRIAL LTDA.,2023-02-23,2022-07-17,Parcial liberado,-344,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-860,MEC._ESTÁTICA,110-MR-ME01-0813,35,ITEM DEMO 111 — MEC._ESTÁTICA,OFFSITES,EN PROCESO DE COMPRA,ZETA FITTINGS CORP.,2023-09-20,2023-07-31,Rechazado,35,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-953,MEC._ACCESORIOS,111-MR-PI13-0601,40,ITEM DEMO 112 — MEC._ACCESORIOS,OFFSITES,EN FABRICACIÓN,PROVEEDOR ALPHA S.A.,2023-04-20,2023-03-23,Rechazado,-95,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-341,MEC._VÁLVULAS,112-MR-PI14-0975,24,ITEM DEMO 113 — MEC._VÁLVULAS,CRUDE UNIT,EN FABRICACIÓN,EPSILON VALVES CO.,2023-08-08,2023-04-01,Rechazado,-86,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-294,MEC._ACCESORIOS,113-MR-PI13-0225,30,ITEM DEMO 114 — MEC._ACCESORIOS,CRUDE UNIT,EN TRÁNSITO,ZETA FITTINGS CORP.,2023-08-02,2023-01-05,Rechazado,-172,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-441,MEC._ESTÁTICA,114-MR-ME01-0349,9,ITEM DEMO 115 — MEC._ESTÁTICA,TANKAGE,EN TRÁNSITO,PROVEEDOR ALPHA S.A.,2023-12-02,2023-04-16,No Aceptado,-71,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-338,MEC._ESTÁTICA,115-MR-ME01-0436,50,ITEM DEMO 116 — MEC._ESTÁTICA,VACUUM UNIT,EN PROCESO DE COMPRA,PROVEEDOR ALPHA S.A.,2023-05-17,2023-01-07,En programación,-170,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-653,MEC._ACCESORIOS,116-MR-PI13-0356,12,ITEM DEMO 117 — MEC._ACCESORIOS,CRUDE UNIT,RECIBIDO EN SITIO,BETA INDUSTRIAL LTDA.,2024-04-14,2023-10-31,Liberado,127,AMARILLO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-116,MEC._TUBERÍA,117-MR-PI15-0278,17,ITEM DEMO 118 — MEC._TUBERÍA,CRUDE UNIT,EN TRÁNSITO,ZETA FITTINGS CORP.,2023-08-02,2023-04-05,Parcial liberado,-82,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-587,MEC._TUBERÍA,118-MR-PI15-0559,50,ITEM DEMO 119 — MEC._TUBERÍA,UTILITIES,EN PROCESO DE COMPRA,EPSILON VALVES CO.,2023-10-27,2023-04-28,Liberado,-59,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-729,MEC._ACCESORIOS,119-MR-PI13-0144,47,ITEM DEMO 120 — MEC._ACCESORIOS,FLARE SYSTEM,EN PROCESO DE COMPRA,GAMMA SUPPLIES INC.,2023-09-19,2023-10-06,Parcial liberado,102,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-590,INST._Y_CONTROL,120-MR-IN01-0967,26,ITEM DEMO 121 — INST._Y_CONTROL,OFFSITES,RECIBIDO EN SITIO,DELTA EQUIPOS S.A.S.,2023-12-26,2023-05-15,Rechazado,-42,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-182,MEC._VÁLVULAS,121-MR-PI14-0429,39,ITEM DEMO 122 — MEC._VÁLVULAS,VACUUM UNIT,RECIBIDO EN SITIO,BETA INDUSTRIAL LTDA.,2024-05-10,2024-04-27,En programación,306,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-711,INST._Y_CONTROL,122-MR-IN01-0643,19,ITEM DEMO 123 — INST._Y_CONTROL,OFFSITES,EN PROCESO DE COMPRA,EPSILON VALVES CO.,2023-12-16,2023-10-03,Parcial liberado,99,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-766,MEC._VÁLVULAS,123-MR-PI14-0998,50,ITEM DEMO 124 — MEC._VÁLVULAS,TANKAGE,EN TRÁNSITO,DELTA EQUIPOS S.A.S.,2023-03-22,2022-09-21,Parcial liberado,-278,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-947,MEC._ACCESORIOS,124-MR-PI13-0564,26,ITEM DEMO 125 — MEC._ACCESORIOS,OFFSITES,RECIBIDO EN SITIO,GAMMA SUPPLIES INC.,2024-04-29,2023-12-27,Parcial liberado,184,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-256,MEC._ACCESORIOS,125-MR-PI13-0803,31,ITEM DEMO 126 — MEC._ACCESORIOS,CRUDE UNIT,RECIBIDO EN SITIO,PROVEEDOR ALPHA S.A.,2023-07-10,2023-03-22,Liberado,-96,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-481,MEC._ACCESORIOS,126-MR-PI13-0931,9,ITEM DEMO 127 — MEC._ACCESORIOS,TANKAGE,RECIBIDO EN SITIO,EPSILON VALVES CO.,2023-09-09,2023-03-02,No Aceptado,-116,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-520,ELÉCTRICA,127-MR-EL01-0462,43,ITEM DEMO 128 — ELÉCTRICA,OFFSITES,RECIBIDO EN SITIO,GAMMA SUPPLIES INC.,2023-11-14,2023-09-03,No Aceptado,69,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-619,MEC._ESTÁTICA,128-MR-ME01-0317,10,ITEM DEMO 129 — MEC._ESTÁTICA,FLARE SYSTEM,OC EMITIDA,BETA INDUSTRIAL LTDA.,2023-07-09,2023-05-10,Liberado,-47,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-385,INST._Y_CONTROL,129-MR-IN01-0687,15,ITEM DEMO 130 — INST._Y_CONTROL,OFFSITES,EN PROCESO DE COMPRA,EPSILON VALVES CO.,2023-07-29,2023-06-07,No Aceptado,-19,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-773,MEC._ACCESORIOS,130-MR-PI13-0949,45,ITEM DEMO 131 — MEC._ACCESORIOS,UTILITIES,RECIBIDO EN SITIO,BETA INDUSTRIAL LTDA.,2024-01-11,2023-05-29,En programación,-28,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-459,MEC._ACCESORIOS,131-MR-PI13-0106,12,ITEM DEMO 132 — MEC._ACCESORIOS,VACUUM UNIT,EN PROCESO DE COMPRA,ZETA FITTINGS CORP.,2024-01-25,2023-11-04,Parcial liberado,131,AMARILLO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-131,MEC._ESTÁTICA,132-MR-ME01-0193,48,ITEM DEMO 133 — MEC._ESTÁTICA,TANKAGE,EN TRÁNSITO,DELTA EQUIPOS S.A.S.,2023-03-07,2022-09-20,Parcial liberado,-279,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-419,ELÉCTRICA,133-MR-EL01-0838,21,ITEM DEMO 134 — ELÉCTRICA,TANKAGE,EN PROCESO DE COMPRA,PROVEEDOR ALPHA S.A.,2023-09-20,2023-07-16,Liberado,20,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-150,MEC._ACCESORIOS,134-MR-PI13-0790,6,ITEM DEMO 135 — MEC._ACCESORIOS,UTILITIES,OC EMITIDA,ZETA FITTINGS CORP.,2023-04-20,2022-11-11,Parcial liberado,-227,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-320,MEC._VÁLVULAS,135-MR-PI14-0873,33,ITEM DEMO 136 — MEC._VÁLVULAS,CRUDE UNIT,EN FABRICACIÓN,DELTA EQUIPOS S.A.S.,2023-10-06,2023-09-22,Liberado,88,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-415,MEC._ACCESORIOS,136-MR-PI13-0146,15,ITEM DEMO 137 — MEC._ACCESORIOS,OFFSITES,EN PROCESO DE COMPRA,PROVEEDOR ALPHA S.A.,2023-06-25,2023-07-04,Liberado,8,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-885,INST._Y_CONTROL,137-MR-IN01-0240,49,ITEM DEMO 138 — INST._Y_CONTROL,UTILITIES,EN FABRICACIÓN,GAMMA SUPPLIES INC.,2023-05-15,2023-02-18,Liberado,-128,AMARILLO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-279,INST._Y_CONTROL,138-MR-IN01-0232,25,ITEM DEMO 139 — INST._Y_CONTROL,TANKAGE,EN TRÁNSITO,EPSILON VALVES CO.,2023-02-03,2023-02-17,No Aceptado,-129,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-982,MEC._ACCESORIOS,139-MR-PI13-0859,3,ITEM DEMO 140 — MEC._ACCESORIOS,OFFSITES,RECIBIDO EN SITIO,DELTA EQUIPOS S.A.S.,2024-04-01,2024-02-02,Liberado,221,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-687,MEC._VÁLVULAS,140-MR-PI14-0514,46,ITEM DEMO 141 — MEC._VÁLVULAS,FLARE SYSTEM,OC EMITIDA,GAMMA SUPPLIES INC.,2024-04-16,2024-01-27,Liberado,215,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-275,MEC._VÁLVULAS,141-MR-PI14-0920,40,ITEM DEMO 142 — MEC._VÁLVULAS,OFFSITES,EN FABRICACIÓN,PROVEEDOR ALPHA S.A.,2023-08-26,2023-01-08,Parcial liberado,-169,AMARILLO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-703,MEC._ACCESORIOS,142-MR-PI13-0510,34,ITEM DEMO 143 — MEC._ACCESORIOS,CRUDE UNIT,OC EMITIDA,GAMMA SUPPLIES INC.,2024-04-07,2023-10-04,Rechazado,100,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-272,MEC._ESTÁTICA,143-MR-ME01-0178,33,ITEM DEMO 144 — MEC._ESTÁTICA,FLARE SYSTEM,RECIBIDO EN SITIO,EPSILON VALVES CO.,2023-07-23,2023-03-18,No Aceptado,-100,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-938,MEC._VÁLVULAS,144-MR-PI14-0760,10,ITEM DEMO 145 — MEC._VÁLVULAS,VACUUM UNIT,RECIBIDO EN SITIO,BETA INDUSTRIAL LTDA.,2023-05-10,2023-03-09,En programación,-109,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-878,MEC._ACCESORIOS,145-MR-PI13-0877,42,ITEM DEMO 146 — MEC._ACCESORIOS,CRUDE UNIT,EN TRÁNSITO,ZETA FITTINGS CORP.,2023-05-12,2022-12-11,Parcial liberado,-197,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-678,MEC._VÁLVULAS,146-MR-PI14-0758,41,ITEM DEMO 147 — MEC._VÁLVULAS,TANKAGE,EN FABRICACIÓN,ZETA FITTINGS CORP.,2023-09-25,2023-09-14,En programación,80,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-552,MEC._TUBERÍA,147-MR-PI15-0746,20,ITEM DEMO 148 — MEC._TUBERÍA,UTILITIES,EN PROCESO DE COMPRA,PROVEEDOR ALPHA S.A.,2023-04-18,2023-04-03,En programación,-84,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-562,MEC._ACCESORIOS,148-MR-PI13-0138,4,ITEM DEMO 149 — MEC._ACCESORIOS,UTILITIES,EN FABRICACIÓN,PROVEEDOR ALPHA S.A.,2023-10-17,2023-03-28,Rechazado,-90,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-619,MEC._ACCESORIOS,149-MR-PI13-0493,30,ITEM DEMO 150 — MEC._ACCESORIOS,TANKAGE,EN PROCESO DE COMPRA,ZETA FITTINGS CORP.,2024-04-17,2023-10-06,Liberado,102,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-587,SEG._Y_SCI,150-MR-SC01-0613,10,ITEM DEMO 151 — SEG._Y_SCI,CRUDE UNIT,OC EMITIDA,PROVEEDOR ALPHA S.A.,2023-09-18,2023-04-27,En programación,-60,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-276,MEC._TUBERÍA,151-MR-PI15-0140,16,ITEM DEMO 152 — MEC._TUBERÍA,FLARE SYSTEM,OC EMITIDA,DELTA EQUIPOS S.A.S.,2024-06-16,2023-12-02,No Aceptado,159,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-389,MEC._VÁLVULAS,152-MR-PI14-0496,27,ITEM DEMO 153 — MEC._VÁLVULAS,UTILITIES,EN PROCESO DE COMPRA,PROVEEDOR ALPHA S.A.,2023-10-25,2023-05-19,Rechazado,-38,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-196,MEC._VÁLVULAS,153-MR-PI14-0671,44,ITEM DEMO 154 — MEC._VÁLVULAS,OFFSITES,EN FABRICACIÓN,GAMMA SUPPLIES INC.,2023-12-28,2023-10-20,Rechazado,116,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-696,MEC._ACCESORIOS,154-MR-PI13-0779,10,ITEM DEMO 155 — MEC._ACCESORIOS,UTILITIES,EN FABRICACIÓN,ZETA FITTINGS CORP.,2024-04-11,2023-10-30,Rechazado,126,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-825,MEC._ACCESORIOS,155-MR-PI13-0186,20,ITEM DEMO 156 — MEC._ACCESORIOS,TANKAGE,OC EMITIDA,ZETA FITTINGS CORP.,2024-01-05,2023-11-26,En programación,153,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-948,MEC._ACCESORIOS,156-MR-PI13-0856,44,ITEM DEMO 157 — MEC._ACCESORIOS,TANKAGE,RECIBIDO EN SITIO,ZETA FITTINGS CORP.,2024-03-22,2023-09-29,Rechazado,95,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-471,MEC._VÁLVULAS,157-MR-PI14-0416,12,ITEM DEMO 158 — MEC._VÁLVULAS,VACUUM UNIT,EN FABRICACIÓN,DELTA EQUIPOS S.A.S.,2023-09-04,2023-09-24,No requiere inspección,90,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-402,MEC._ACCESORIOS,158-MR-PI13-0964,7,ITEM DEMO 159 — MEC._ACCESORIOS,TANKAGE,EN PROCESO DE COMPRA,ZETA FITTINGS CORP.,2023-05-26,2022-12-07,No Aceptado,-201,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-732,MEC._ACCESORIOS,159-MR-PI13-0234,39,ITEM DEMO 160 — MEC._ACCESORIOS,OFFSITES,EN TRÁNSITO,BETA INDUSTRIAL LTDA.,2023-02-19,2022-12-13,No requiere inspección,-195,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-144,MEC._ACCESORIOS,160-MR-PI13-0520,24,ITEM DEMO 161 — MEC._ACCESORIOS,FLARE SYSTEM,EN TRÁNSITO,DELTA EQUIPOS S.A.S.,2024-03-31,2023-10-27,No Aceptado,123,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-344,MEC._TUBERÍA,161-MR-PI15-0416,31,ITEM DEMO 162 — MEC._TUBERÍA,VACUUM UNIT,EN FABRICACIÓN,ZETA FITTINGS CORP.,2023-06-25,2023-06-14,No Aceptado,-12,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-388,MEC._ACCESORIOS,162-MR-PI13-0896,25,ITEM DEMO 163 — MEC._ACCESORIOS,TANKAGE,EN PROCESO DE COMPRA,DELTA EQUIPOS S.A.S.,2024-06-18,2024-06-03,No requiere inspección,343,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-241,MEC._ESTÁTICA,163-MR-ME01-0993,17,ITEM DEMO 164 — MEC._ESTÁTICA,CRUDE UNIT,OC EMITIDA,GAMMA SUPPLIES INC.,2024-03-24,2023-11-07,No Aceptado,134,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-628,INST._Y_CONTROL,164-MR-IN01-0971,8,ITEM DEMO 165 — INST._Y_CONTROL,UTILITIES,RECIBIDO EN SITIO,BETA INDUSTRIAL LTDA.,2024-05-23,2023-11-17,En programación,144,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-547,MEC._ACCESORIOS,165-MR-PI13-0193,15,ITEM DEMO 166 — MEC._ACCESORIOS,OFFSITES,EN FABRICACIÓN,PROVEEDOR ALPHA S.A.,2023-09-18,2023-10-10,Parcial liberado,106,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-341,MEC._ACCESORIOS,166-MR-PI13-0495,6,ITEM DEMO 167 — MEC._ACCESORIOS,UTILITIES,EN TRÁNSITO,PROVEEDOR ALPHA S.A.,2023-02-27,2023-01-20,En programación,-157,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-765,MEC._TUBERÍA,167-MR-PI15-0443,10,ITEM DEMO 168 — MEC._TUBERÍA,VACUUM UNIT,RECIBIDO EN SITIO,GAMMA SUPPLIES INC.,2024-05-21,2023-11-13,Parcial liberado,140,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-580,MEC._ACCESORIOS,168-MR-PI13-0559,40,ITEM DEMO 169 — MEC._ACCESORIOS,CRUDE UNIT,RECIBIDO EN SITIO,PROVEEDOR ALPHA S.A.,2024-01-22,2023-08-06,En programación,41,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-844,MEC._ACCESORIOS,169-MR-PI13-0723,34,ITEM DEMO 170 — MEC._ACCESORIOS,OFFSITES,RECIBIDO EN SITIO,GAMMA SUPPLIES INC.,2023-05-21,2022-12-08,No requiere inspección,-200,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-529,ELÉCTRICA,170-MR-EL01-0754,40,ITEM DEMO 171 — ELÉCTRICA,OFFSITES,RECIBIDO EN SITIO,PROVEEDOR ALPHA S.A.,2023-07-04,2023-01-07,Parcial liberado,-170,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-688,MEC._VÁLVULAS,171-MR-PI14-0347,46,ITEM DEMO 172 — MEC._VÁLVULAS,VACUUM UNIT,EN FABRICACIÓN,DELTA EQUIPOS S.A.S.,2023-12-02,2023-04-14,Liberado,-73,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-526,MEC._VÁLVULAS,172-MR-PI14-0291,43,ITEM DEMO 173 — MEC._VÁLVULAS,FLARE SYSTEM,RECIBIDO EN SITIO,EPSILON VALVES CO.,2023-12-11,2023-10-12,En programación,108,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-905,INST._Y_CONTROL,173-MR-IN01-0619,36,ITEM DEMO 174 — INST._Y_CONTROL,CRUDE UNIT,OC EMITIDA,DELTA EQUIPOS S.A.S.,2023-03-06,2023-04-04,Liberado,-83,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-359,INST._Y_CONTROL,174-MR-IN01-0865,2,ITEM DEMO 175 — INST._Y_CONTROL,UTILITIES,RECIBIDO EN SITIO,GAMMA SUPPLIES INC.,2023-12-22,2023-11-10,No requiere inspección,137,AMARILLO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-852,MEC._ACCESORIOS,175-MR-PI13-0874,22,ITEM DEMO 176 — MEC._ACCESORIOS,VACUUM UNIT,RECIBIDO EN SITIO,GAMMA SUPPLIES INC.,2024-02-10,2023-08-07,No Aceptado,42,ROJO
